# name	exact%	close%	rmse	note
RDP/16BPP/Rectangle/TextureRectangle/TLUT/Cycle1TextureRectangleTLUTIA4B320x240/Cycle1TextureRectangle16BPPTLUTIA4B320X240	89.73	90.31	30.70	
RDP/16BPP/Rectangle/TextureRectangle/TLUT/Cycle1TextureRectangleTLUTIA8B320x240/Cycle1TextureRectangle16BPPTLUTIA8B320X240	95.93	97.50	27.96	
RDP/16BPP/Rectangle/TextureRectangle/TLUT/Cycle1TextureRectangleTLUTRGBA4B320x240/Cycle1TextureRectangle16BPPTLUTRGBA4B320X240	89.73	95.23	28.30	
RDP/16BPP/Rectangle/TextureRectangle/TLUT/Cycle1TextureRectangleTLUTRGBA8B320x240/Cycle1TextureRectangle16BPPTLUTRGBA8B320X240	95.93	97.80	27.73	
RDP/16BPP/SetPrimColor/SetPrimColor16BPP	100.00	100.00	0.00	
RDP/16BPP/Triangle/Cube/FillTriangle320x240/CubeFillTriangle16BPP320X240	55.27	55.89	105.36	
RDP/16BPP/Triangle/FillTriangle/Cycle1FillTriangle320x240/Cycle1FillTriangle16BPP320X240	98.97	98.97	17.80	
RDP/16BPP/Triangle/FillTriangle/FillTriangle320x240/FillTriangle16BPP320X240	98.94	98.94	17.33	
RDP/16BPP/Triangle/FillZBufferTriangle320x240/Cycle1FillZBufferTriangle16BPP320X240	98.15	98.15	21.27	
RDP/16BPP/Triangle/Plot/FillTriangle/LeftMajorTriangle320x240/LeftMajorTriangle16BPP320X240	99.75	99.75	6.70	
RDP/16BPP/Triangle/Plot/FillTriangle/RightMajorTriangle320x240/RightMajorTriangle16BPP320X240	99.75	99.75	6.70	
RDP/16BPP/Triangle/Rotate/FillTriangle/LeftMajorTriangle320x240/RotateLeftMajorTriangle16BPP320X240	70.04	70.04	73.00	
RDP/16BPP/Triangle/Rotate/FillTriangle/RightMajorTriangle320x240/RotateRightMajorTriangle16BPP320X240	71.62	71.62	71.05	
RDP/16BPP/Triangle/ShadeTriangle320x240/Cycle1ShadeTriangle16BPP320X240	93.77	99.67	1.49	
RDP/16BPP/Triangle/TextureTriangle/CopyTextureTriangleRGBA16B320x240/CopyTextureTriangle16BPPRGBA16B320X240	99.54	99.54	13.76	
RDP/16BPP/Triangle/TextureTriangle/Cycle1TextureTriangleI4B320x240/Cycle1TextureTriangle16BPPI4B320X240	93.96	96.88	15.61	
RDP/16BPP/Triangle/TextureTriangle/Cycle1TextureTriangleI8B320x240/Cycle1TextureTriangle16BPPI8B320X240	95.77	97.25	15.52	
RDP/16BPP/Triangle/TextureTriangle/Cycle1TextureTriangleIA16B320x240/Cycle1TextureTriangle16BPPIA16B320X240	95.93	97.50	27.96	
RDP/16BPP/Triangle/TextureTriangle/Cycle1TextureTriangleIA4B320x240/Cycle1TextureTriangle16BPPIA4B320X240	94.21	97.22	31.22	
RDP/16BPP/Triangle/TextureTriangle/Cycle1TextureTriangleIA8B320x240/Cycle1TextureTriangle16BPPIA8B320X240	95.93	97.50	27.93	
RDP/16BPP/Triangle/TextureTriangle/Cycle1TextureTriangleRGBA16B320x240/Cycle1TextureTriangle16BPPRGBA16B320X240	95.93	97.80	27.73	
RDP/16BPP/Triangle/TextureTriangle/Cycle1TextureTriangleRGBA32B320x240/Cycle1TextureTriangle16BPPRGBA32B320X240	96.17	97.80	27.73	
RDP/16BPP/Triangle/TextureTriangle/Cycle1TextureTriangleYUV16B320x240/Cycle1TextureTriangle16BPPYUV16B320X240	99.73	99.73	8.05	
RDP/16BPP/Triangle/TextureTriangle/TLUT/CopyTextureTriangleTLUTRGBA4B320x240/CopyTextureTriangle16BPPTLUTRGBA4B320X240	99.40	99.40	15.76	
RDP/16BPP/Triangle/TextureTriangle/TLUT/CopyTextureTriangleTLUTRGBA8B320x240/CopyTextureTriangle16BPPTLUTRGBA8B320X240	99.54	99.54	13.76	
RDP/16BPP/Triangle/TextureTriangle/TLUT/Cycle1TextureTriangleTLUTIA4B320x240/Cycle1TextureTriangle16BPPTLUTIA4B320X240	89.73	90.31	30.70	
RDP/16BPP/Triangle/TextureTriangle/TLUT/Cycle1TextureTriangleTLUTIA8B320x240/Cycle1TextureTriangle16BPPTLUTIA8B320X240	95.93	97.50	27.96	
RDP/16BPP/Triangle/TextureTriangle/TLUT/Cycle1TextureTriangleTLUTRGBA4B320x240/Cycle1TextureTriangle16BPPTLUTRGBA4B320X240	89.73	95.23	28.30	
RDP/16BPP/Triangle/TextureTriangle/TLUT/Cycle1TextureTriangleTLUTRGBA8B320x240/Cycle1TextureTriangle16BPPTLUTRGBA8B320X240	95.93	97.80	27.73	
RDP/32BPP/Line/FillLine/Cycle1FillLine320x240/Cycle1FillLine32BPP320X240	99.21	99.21	15.10	
RDP/32BPP/Line/FillLine/FillLine320x240/FillLine32BPP320X240	99.18	99.18	15.47	
RDP/32BPP/Line/Plot/FillLine/PlotFillLine32BPP320X240	99.87	99.87	5.31	
RDP/32BPP/Line/Rotate/FillLine/RotateFillLine32BPP320X240	99.41	99.41	11.34	
RDP/32BPP/Rectangle/FillRectangle/Cycle1FillRectangle320x240/Cycle1FillRectangle32BPP320X240	98.65	98.65	24.18	
RDP/32BPP/Rectangle/FillRectangle/FillRectangle320x240/FillRectangle32BPP320X240	98.64	98.64	24.24	
RDP/32BPP/Rectangle/FillZBufferRectangle320x240/Cycle1FillZBufferRectangle32BPP320X240	98.94	98.94	17.26	
RDP/32BPP/Rectangle/TextureRectangle/Cycle1TextureRectangleI4B320x240/Cycle1TextureRectangle32BPPI4B320X240	93.96	96.81	15.26	
RDP/32BPP/Rectangle/TextureRectangle/Cycle1TextureRectangleI8B320x240/Cycle1TextureRectangle32BPPI8B320X240	95.89	97.39	14.31	
RDP/32BPP/Rectangle/TextureRectangle/Cycle1TextureRectangleIA16B320x240/Cycle1TextureRectangle32BPPIA16B320X240	96.11	97.66	27.48	
RDP/32BPP/Rectangle/TextureRectangle/Cycle1TextureRectangleIA4B320x240/Cycle1TextureRectangle32BPPIA4B320X240	94.25	97.22	31.58	
RDP/32BPP/Rectangle/TextureRectangle/Cycle1TextureRectangleIA8B320x240/Cycle1TextureRectangle32BPPIA8B320X240	96.11	97.66	27.45	
RDP/32BPP/Rectangle/TextureRectangle/Cycle1TextureRectangleRGBA16B320x240/Cycle1TextureRectangle32BPPRGBA16B320X240	96.11	97.97	27.30	
RDP/32BPP/Rectangle/TextureRectangle/Cycle1TextureRectangleRGBA32B320x240/Cycle1TextureRectangle32BPPRGBA32B320X240	96.33	97.97	27.30	
RDP/32BPP/Rectangle/TextureRectangle/Cycle1TextureRectangleYUV16B320x240/Cycle1TextureRectangle32BPPYUV16B320X240	99.74	99.74	7.31	
RDP/32BPP/Rectangle/TextureRectangle/TLUT/Cycle1TextureRectangleTLUTIA4B320x240/Cycle1TextureRectangle32BPPTLUTIA4B320X240	89.77	90.52	30.88	
RDP/32BPP/Rectangle/TextureRectangle/TLUT/Cycle1TextureRectangleTLUTIA8B320x240/Cycle1TextureRectangle32BPPTLUTIA8B320X240	96.11	97.66	27.48	
RDP/32BPP/Rectangle/TextureRectangle/TLUT/Cycle1TextureRectangleTLUTRGBA4B320x240/Cycle1TextureRectangle32BPPTLUTRGBA4B320X240	89.77	94.81	28.69	
